step,time,loss,lr
0,0.9290118217468262,9.290803909301758,0.0
1,1.5465912818908691,9.285245895385742,6.25e-07
2,1.6398694515228271,9.26611328125,1.25e-06
3,1.73543381690979,9.237955093383789,1.875e-06
4,1.8216989040374756,9.26593017578125,2.5e-06
5,1.9162511825561523,9.238929748535156,3.125e-06
6,2.0087974071502686,9.2434720993042,3.75e-06
7,2.091095447540283,9.29024887084961,4.3750000000000005e-06
8,2.1793692111968994,9.270441055297852,5e-06
9,2.271458625793457,9.238147735595703,5.6249999999999995e-06
10,2.363577365875244,9.236896514892578,6.25e-06
11,2.458987236022949,9.24015998840332,6.875e-06
12,2.559051752090454,9.228946685791016,7.5e-06
13,2.673614501953125,9.248323440551758,8.125000000000001e-06
14,2.7732205390930176,9.253341674804688,8.750000000000001e-06
15,2.872243642807007,9.235077857971191,9.375e-06
16,3.000354290008545,9.208022117614746,1e-05
17,3.0908093452453613,9.162168502807617,1.0625e-05
18,3.184522867202759,9.226309776306152,1.1249999999999999e-05
19,3.275909423828125,9.197639465332031,1.1875e-05
20,3.3694143295288086,9.15967082977295,1.25e-05
21,3.462486982345581,9.188345909118652,1.3125e-05
22,3.5708019733428955,9.128854751586914,1.375e-05
23,3.6767189502716064,9.134014129638672,1.4375e-05
24,3.7869882583618164,9.138656616210938,1.5e-05
25,3.8757548332214355,9.133401870727539,1.5625e-05
26,3.9819233417510986,9.099815368652344,1.6250000000000002e-05
27,4.069365501403809,9.163583755493164,1.6875e-05
28,4.168091535568237,9.143301010131836,1.7500000000000002e-05
29,4.258094072341919,9.057548522949219,1.8125e-05
30,4.353916883468628,9.070950508117676,1.875e-05
31,4.45295786857605,9.085319519042969,1.9375e-05
32,4.528975486755371,9.067634582519531,2e-05
33,4.604092121124268,9.090078353881836,2.0625e-05
34,4.681850433349609,9.044500350952148,2.125e-05
35,4.769122362136841,9.06062126159668,2.1875e-05
36,4.841108560562134,8.962960243225098,2.2499999999999998e-05
